"Teddy Swims - My Bad.mp3",BH71aIJRkLo,1886189
"Sara Kays - Picture Of You.mp3",RjxAMK6rYQg,777664
"Why Don't We - Grey.mp3",BtWDNiiBALI,2210643
"Christopher - My Blood.mp3",rkDWocTAQXg,56978
"Ali Gatie - Can't Let You Go.mp3",vJOo0LqcsLI,2467172
"Ojikae - BYO.mp3",wf9HuWgPBlc,1970
"Joshua Bassett - Lie Lie Lie.mp3",DvEhTo4cDzw,769070
"Ed Sheeran - Afterglow.mp3",G8a0t9hxyaI,19361470
"Chet Faker - Whatever Tomorrow.mp3",r1ahHzgKkYw,157137
"BEKA - Green Lights.mp3",tHEqCjXF7Bs,6855
"Teddy Swims - Bed on Fire.mp3",iPIFDVQ15QU,2520947
"Budjerah - Pyro.mp3",ZWa-VB0v7GI,2894
"Sam Ryder - Tiny Riot.mp3",UyebyTbqFMY,19477431
"Lexi Jayde - running in place.mp3",ch5kgqRCGoM,12752
"Ella Henderson, Tom Grennan - Let’s Go Home Together.mp3",TE0wPI7rpKI,2082973
"Jack Gray - Selfish.mp3",yN9tOkH4Dak,987
"Shanae - Locking Eyes.mp3",toeSXgsMoOg,4593
"Joshua Bassett - Feel Something.mp3",yAdSEOLFi04,614655
"Maisie Peters - John Hughes Movie.mp3",g5XHo4MuutU,370199
"Vetta Borne - Luv On U.mp3",R0brQLhUlMw,1238
"Priya Ragu - Forgot About.mp3",I-IH1C8bNms,24827
"Cecily - Mad Girl's Love Song.mp3",6L-g4msCuxk,812
"Maisie Peters - Helicopter.mp3",jfiP-5vhac8,109775
"Griff - One Foot in Front of the Other.mp3",HJSXLV_AXbE,330900
"Sloan Peterson - Moon & Back.mp3",CaWEZQju9mA,1431
"Pink Sweat$ - At My Worst (feat. Kehlani).mp3",j44dcyPq0M8,12461013
"JJ Lin - Bedroom (feat. Anne-Marie).mp3",24FwdjFUBvM,1292520
"Harper Finn - She Said.mp3",AbadTOTLuN0,4171
"Sofía Valdés - Handful of Water - Sofía x Ta-ku Remix.mp3",JRyRFTFHVh8,4698
"Annie Bass - Step Aside.mp3",4sllnIMXmyE,187
"Ben Abraham - War In Your Arms.mp3",WVnAPU_DnrI,33429
"Coldplay - Higher Power.mp3",A3nJxEbi7Uk,13925570
"Sara Kays - Remember That Night.mp3",8GOKi-M1Jbg,15606907
"Maisie Peters - Funeral (feat. James Bay).mp3",97j1uF_Qn0w,103906
"Chet Faker - Feel Good.mp3",9E-xrHaFq20,169007
"Tornado Club, The Kite String Tangle, Woodes - Intuition.mp3",KtCg6vdyDpY,935
"Budjerah - Higher.mp3",xE3SstOEnsU,45239
"Griff - Black Hole.mp3",LtUiLvskKD0,2676496
"Sloan Peterson - Parasite.mp3",Q-LiDG8XYe4,1385
"MAX, Ali Gatie - Butterflies.mp3",q1TGtm6-cnc,10944016
"HONNE - NOW I'M ALONE (feat. Sofía Valdés).mp3",oCIic5mgwJI,1713160
"Hayley Kiyoko - chance.mp3",ii7uzLY_s6E,305591
"Wafia - Wide Open (feat. Ta-ku & Masego).mp3",4aNrGs7xpbk,42184
"Josh Pineda - Lie to Me (feat. Kensington Moore).mp3",qVA_svSeywI,123
"Omar Apollo - Go Away.mp3",krwu8Hn6i7c,163530
"Ben Abraham - Requiem.mp3",-UzoxJixStQ,31403
"Pacific Heights - Domino (feat. Foley).mp3",kfD8C-n2oEM,6236
"Ben Platt - I wanna love you but I don’t.mp3",p9RmZGAlWko,419131
"Chet Faker - It's Not You.mp3",YgUgVaIE-Zs,120377
"flowerkid - it's happening again (feat. KUČKA).mp3",gpBX5Fj3qq4,19725
"Sara Kays - Struck By Lightning (feat. Cavetown).mp3",wxIe7DinJN0,131813
"Ingrid Andress - Wishful Drinking (with Sam Hunt).mp3",uXUQmWgDeNs,1297315
"Sam Austins - JOY FOR YOUTH (with Sir Chloe).mp3",OcpHjqkE2YI,55206
"Bruno Mars, Anderson .Paak, Silk Sonic - Leave The Door Open.mp3",IYFqc9gk4qI,50108477
"Anderson East - Maybe We Never Die.mp3",ZXSjaZxcCh0,50689
"Teddy Swims - Simple Things.mp3",B0H_nMQGuI8,1114897
"Maisie Peters - Volcano.mp3",h-J8eihnXrI,121893
"BOY SODA - LOVEU2BITS.mp3",WIg48Jqn608,1226
"Sara Kays - Traffic Lights.mp3",xgiWS9ALAuA,1758364
"Lorde - Mood Ring.mp3",lo3R-PldAiw,897528
"Ed Sheeran - Bad Habits.mp3",hJWSZDJb-W4,149884732
"Shanae - Some Type Of Way.mp3",qDV1-tMDk1c,6067
"We Said - Zombie (feat. LAUF).mp3",s764PLyEH-k,821
"Maisie Peters - Psycho.mp3",yLlxzixnPY0,1559998
"HONNE - COMING HOME (feat. NIKI).mp3",v_25neFRxCU,1423224
"Sam Ryder - More.mp3",MUxX_VTXMgk,3206041
"Nessa Barrett - keep me afraid.mp3",a8MOqsUS8Vw,771974
"JC Stewart - Don’t Say You Love Me.mp3",p-SYNqFu7ls,148432
"Bazzi - I Like That.mp3",gWa1bsa1c-A,2086234
"Obseen - What I Need.mp3",jKM95ZBNuXk,1
"SLUMBERJACK - Better Off (feat. Lucy Lucy).mp3",46Rzqx84xyc,9503
"Kedus - Sunset Dream.mp3",4sVgZxQwc4w,22934
"Client Liaison - Eulogy for the Living.mp3",lNfOKcI6IZA,13381
"Anne-Marie, Niall Horan - Our Song.mp3",5_R8MF_6nF8,5060637
"Ed Sheeran - Visiting Hours.mp3",e_2LbkArtVY,5274529
"Budjerah - Shoulda Coulda.mp3",AYfV_9w1vg4,5479
"88rising, Ylona Garcia - Don't Go Changing.mp3",nuFMfLeDE70,159065
"James Blunt - Love Under Pressure.mp3",yNrZoKjjjxM,320585
"Alec Benjamin - Older.mp3",3m7-wvv9Cco,880460
"Scott Helman - Pretty.mp3",utuaPMSr2vo,28907
"Ben Lee - Born For This Bullshit (feat. Sad13).mp3",YGEBaE-jRpY,3603
"Maisie Peters - Elvis Song.mp3",8V07aKY9CmM,229590
"Wafia - Wide Open (feat. Ta-ku & Masego) - Cabu & Ta-ku Remix.mp3",fL6Sn_llx-0,11346
"88rising, BIBI - The Weekend.mp3",svPzjK7BiEw,8491454
"Bruno Mars, Anderson .Paak, Silk Sonic - Smokin Out The Window.mp3",9vlslhgQOik,15734085
"HONNE - BACK ON TOP (feat. Griff).mp3",NI28s81CuVo,1976863
"Winston Surfshirt - Complicated (feat. Young Franco).mp3",2aSs7ZquLn4,29125
"Mahalia - Roadside (feat. AJ Tracey).mp3",TlZBG4ifmFw,242631
"Dylan J - Notice Me (feat. Ruel).mp3",R6o2wcm1Xfo,19562
"Hollie Smith - YOU (feat. New Zealand Symphony Orchestra).mp3",SC2ZT3SQUyc,816
"RÜFÜS DU SOL - I Don't Wanna Leave.mp3",gZ2rZjVupk4,1442780
"CHAII - Pineapple Pizza.mp3",KnV3C-A-cb0,24931
"Aiyana-Lee - Rich Kids.mp3",vUW2hk9fEz8,83358
"flowerkid - vodka orange juice.mp3",IOxz7WKJU5A,6796
"Griff - One Night.mp3",pcQjLopjcnM,725472
